projektzuordnung,aktenzeichen,aussergerichtliche_za_verschickt_datum,vergleich_annahme_durch_VW,I. Instanz: Urteil,Verkauft,Verkaufspreis,FIN,Gebühren erhalten,"Gebühren abweichend von 2,8",extracted_amount,EUR Amount
sk_grossmigration_2021,002023-2022/001:00,1/23/2022 12:23,10/19/2023,Vergleich,0,,VSSZZZ3RZBR018705,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,002267-2022/001:00,1/23/2022 12:27,11/6/2023,Vergleich,1,9000,TMBJT75LXE6040954,€ 591.79,,"591,79 EUR","591,79 "
sk_grossmigration_2021,002268-2022/001:00,1/23/2022 12:29,7/26/2023,Vergleich,0,,WVWZZZ1KZEW537984,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,001623-2022/001:00,1/19/2022 14:42,10/19/2023,Vergleich,0,,WVWZZZ3CZCP020539,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,001976-2022/001:00,1/22/2022 16:00,7/26/2023,Vergleich,0,,TMBLC45L3D6091637,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,001992-2022/001:00,1/22/2022 16:22,9/29/2023,Vergleich,0,,TMBLD75L2A6015045,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,001514-2022/001:00,1/19/2022 7:15,9/29/2023,Vergleich,0,,WVWZZZ6RZCY222182,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,001629-2022/001:00,1/19/2022 14:55,9/13/2024,Vergleich,0,,WVWZZZ1KZ9P461836,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,001653-2022/001:00,1/19/2022 14:46,7/26/2023,Vergleich,0,,WVWZZZ6RZDY187131,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,001654-2022/001:00,1/19/2022 14:48,9/29/2023,Vergleich,0,,TMBJD75L0D6028565,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,001656-2022/001:00,1/22/2022 11:54,9/29/2023,Vergleich,0,,TMBLC45L4F6046161,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,001387-2022/001:00,1/20/2022 9:20,9/29/2023,Vergleich,0,,WVGZZZ5NZCW513928,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,001661-2022/001:00,1/22/2022 12:11,9/29/2023,Vergleich,0,,WAUZZZ8XXEB159572,"€ 1,451.44",,"1.451,44 EUR","1.451,44 "
sk_grossmigration_2021,001662-2022/001:00,1/22/2022 12:15,10/19/2023,Vergleich,0,,WVWZZZ1KZBM684713,€ 735.06,,"735,06 EUR","735,06 "
sk_grossmigration_2021,001591-2022/001:00,1/19/2022 13:11,9/29/2023,Vergleich,0,,VSSZZZ7NZEV510437,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,001663-2022/001:00,1/22/2022 12:18,7/26/2023,Vergleich,0,,VSSZZZ7NZFV515229,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,001666-2022/001:00,1/22/2022 12:29,10/19/2023,Vergleich,0,,WVWZZZ1KZCP160121,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,001593-2022/001:00,3/14/2022 11:02,10/19/2023,Vergleich,0,,WVWZZZ1KZBM637354,€ 591.79,,"591,79 EUR","591,79 "
sk_grossmigration_2021,001673-2022/001:00,1/22/2022 12:54,7/26/2023,Vergleich,0,,WAUZZZ8F6EN002028,"€ 2,467.17",,"2.467,17 EUR","2.467,17 "
sk_grossmigration_2021,000376-2022/001:00,1/12/2022 12:38,9/29/2023,Vergleich,0,,WAUZZZ4G0CN055139,"€ 1,451.44",,"1.451,44 EUR","1.451,44 "
sk_grossmigration_2021,000689-2022/001:00,1/14/2022 9:19,10/19/2023,Vergleich,0,,WAUZZZ8R7BA010720,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000386-2022/001:00,1/13/2022 11:11,11/8/2023,Vergleich,1,6302.52,WV2ZZZ2KZDX063893,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000380-2022/001:00,3/8/2022 13:53,9/29/2023,Vergleich,0,,WVWZZZ3CZDE090453,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,000382-2022/001:00,2/7/2022 6:33,10/19/2023,Vergleich,0,,WVWZZZ1KZCM625769,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,000383-2022/001:00,1/13/2022 13:37,7/26/2023,Vergleich,0,,WVGZZZ1TZEW093753,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000274-2022/001:00,1/12/2022 7:01,9/29/2023,Vergleich,0,,WAUZZZ8K98A003859,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000390-2022/001:00,1/13/2022 13:43,2/1/2024,Vergleich,0,,TMBGT61ZXB2034976,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000392-2022/001:00,2/1/2022 15:40,9/29/2023,Vergleich,0,,WVGZZZ5NZEW099602,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000292-2022/001:00,1/12/2022 7:37,9/29/2023,Vergleich,0,,TMBJE63T0F9053722,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000418-2022/001:00,1/13/2022 14:21,2/29/2024,Vergleich,0,,TMBJD75L5F6079093,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000308-2022/001:00,1/12/2022 10:58,7/26/2023,Vergleich,0,,WVGZZZ5NZEW037697,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000416-2022/001:00,1/13/2022 12:46,10/19/2023,Vergleich,0,,TMBJF73TXE9049825,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000419-2022/001:00,1/13/2022 8:12,10/2/2023,Vergleich,0,,WV1ZZZ2HZB8008654,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,000423-2022/001:00,1/12/2022 15:24,7/26/2023,Vergleich,0,,TMBLD75L8F6070008,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000428-2022/001:00,1/13/2022 8:14,7/26/2023,Vergleich,0,,WVWZZZ1KZFK010026,"€ 1,787.30",,"1.787,30 EUR","1.787,30 "
sk_grossmigration_2021,000432-2022/001:00,1/12/2022 15:37,7/25/2023,Vergleich,0,,WVWZZZ1KZCW077892,€ 919.87,,"919,87 EUR","919,87 "
sk_grossmigration_2021,000422-2022/001:00,1/13/2022 12:49,9/29/2023,Vergleich,0,,WVGZZZ5NZBW093870,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000426-2022/001:00,1/13/2022 12:56,10/2/2023,Vergleich,0,,WAUZZZ8K8EA063613,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
